director_id,director
21198,Peter Sohn
11432,T. Hee
52691,Anthony Stacchi
76998,James Marsh
1193602,Gia Coppola
19841,Mateo Gil
105239,Stuart Hazeldine
121473,Jamal Hill
144430,Paul Donovan
12962,Jon Turteltaub
1867383,Rohit Jagessar
558929,David Robert Mitchell
59923,Marc Forby
45572,Ruggero Deodato
1514635,C. Fraser Press
1102620,Christopher Bessette
13581,Brian Levant
71267,Kirk De Micco
35155,John Gray
57446,Mark Romanek
1043404,Michael Roemer
75035,Olivier Megaton
100516,Max Mayer
2176,Tommy Lee Jones
1155992,Zoran Lisinac
56453,John Bonito
1027738,Donovan Cook
10367,John Waters
111686,Jim Field Smith
58453,Peter Faiman
58729,Albert Magnoli
74619,Sean Anders
9032,Bryan Singer
150003,Graham Heid
36147,Charles T. Kanganis
6111,Mike Figgis
40864,Andrew Bujalski
1617,James Schamus
1704,Gore Verbinski
18357,Peter Hewitt
9956,Chris Marker
99240,Stephen Langford
56911,Les Mayfield
69797,Dean DeBlois
71329,Jonas Åkerlund
938681,James Duffy
47974,Bob Spiers
1223224,Lee Matthews
62797,John Gulager
83415,Michael McGowan
66548,Paul Weiland
57633,Rawson Marshall Thurber
5656,Noah Baumbach
50583,Adam Rifkin
6201,Baz Luhrmann
35452,Corey Yuen Kwai
2746,Elia Kazan
455,Paul Haggis
1551346,Matthew Robinson
51866,Rick Famuyiwa
13294,Gene Kelly
73499,Bruce McCulloch
70777,Kevin Rodney Sullivan
2239,Anthony Minghella
226599,Norman Ferguson
20629,George Miller
52842,Garth Jennings
974,Dexter Fletcher
12988,Paul Michael Glaser
17825,Shawn Levy
56146,Gaëtan Brizzi
12804,Peter Yates
64856,Michael Jai White
90591,Oren Peli
58712,Steve Miner
13,Albert Brooks
12708,Peter Billingsley
1524,Harold Ramis
1156260,Brad J. Silverman
21905,Danny Pang
71901,Douglas Aarniokoski
42712,Tony Giglio
227936,Benedek Fliegauf
116186,Lowell Sherman
57832,Daniel Lee
16483,Sylvester Stallone
4760,Deepa Mehta
83467,William A. Graham
95458,Gary Hardwick
108217,Jerry Rees
25527,Jason Connery
18823,Dagur Kári
7187,Richard Donner
56735,David Moreau
1314011,Nathan Smith Jones
7908,Frank Oz
130530,Christian Sesma
221944,Katie Aselton
1062889,Bill Muir
1354959,Justin Tipping
50767,Craig Gillespie
185995,Michael Walker
7324,Pan Nalin
59410,Bob Odenkirk
74638,Karen Moncrieff
939123,Kat Coiro
1167470,Gary Shore
77965,Morten Tyldum
64152,Robert Stevenhagen
4385,Sergio Leone
86262,Michael Kang
18250,Jon Avnet
69696,Daniel Algrant
17494,Dennis Dugan
19346,Niels Arden Oplev
84931,Michael Cuesta
58518,Blair Hayes
80538,Jean Duval
77121,Randall Miller
4586,Pitof
58689,Neil LaBute
77269,John Crowley
9054,Mervyn LeRoy
1018660,Tanner Beard
31033,Oxide Pang Chun
2917,James Whale
40345,Don Bluth
44848,Angelo Pizzo
52803,Etan Cohen
40385,Marcia Bennett
52139,Seth MacFarlane
1179066,Wes Ball
19272,Joe Russo
74063,Daniel Taplitz
62773,Anna Mastro
1517664,Natalie Bible'
96172,Sam Levinson
87742,Marc Webb
66088,Ronald F. Maxwell
8482,Robert Mulligan
18863,Eric Darnell
57895,Robert Harmon
155747,David M. Matthews
57691,Tamra Davis
1046935,Kim Longinotto
36425,McG
87183,Mark Young
76624,Shane Carruth
54240,Tamara Jenkins
94918,Daniel Barber
84369,Eugene Jarecki
237393,James Bidgood
15780,Dan St. Pierre
21246,Corbin Bernsen
27745,Robert C. Cooper
2710,James Cameron
56539,Nicole Holofcener
1255,David Mamet
2171,Griffin Dunne
7501,Ronald Neame
55520,Nae Caranfil
33485,Ron Underwood
18500,Phil Joanou
86164,Mitch Davis
42274,Nick Hurran
1562428,James O'Brien
27991,Stuart Gordon
26481,Anand Tucker
10943,Francis Lawrence
8574,Walter Salles
56502,Peter Spierig
7911,Joe Ranft
22669,Julien Temple
6733,Dan Mazer
101810,Benjamin Dickinson
151232,Wil Shriner
12824,Don Hahn
65452,Mike Leigh
232858,Sarik Andreasyan
41530,Nick Love
510,Tim Burton
11701,Angelina Jolie
217174,Paul Tibbitt
