movie_id,actor_id
49538,5530
49538,17288
49538,72129
49538,4724
49538,9827
131634,72129
131634,27972
131634,96066
131634,57755
131634,9281
27022,2963
27022,449
27022,28782
27022,658
27022,20374
503,6856
503,3037
503,6164
503,6857
503,4730
241259,85
241259,76070
241259,1813
241259,1283
241259,4566
810,12073
810,776
810,6941
810,5823
810,3131
68735,52851
68735,77700
68735,11107
68735,1038379
68735,55470
87101,1100
87101,76512
87101,1223786
87101,224181
87101,18999
10140,5527
10140,5526
10140,11108
10140,75170
10140,107474
676,880
676,2299
676,3967
676,9777
676,10127
1858,10959
1858,19536
1858,19537
1858,19538
1858,8169
1966,72466
1966,11701
1966,5576
1966,7499
1966,1244
675,10980
675,10989
675,10990
675,5658
675,5469
674,10980
674,10989
674,10990
674,5469
674,5658
8960,2888
8960,6885
8960,23532
8960,66658
8960,1665
6479,2888
6479,8602
6479,49918
6479,53918
6479,49920
118,85
118,1281
118,1282
118,1285
118,1286
2062,10872
2062,65
2062,7962
2062,6197
2062,21198
272,3894
272,3895
272,3896
272,3897
272,64
10527,7399
10527,9575
10527,14409
10527,2632
10527,5726
18360,7399
18360,9273
18360,887
18360,5587
18360,2157
2080,6968
2080,23626
2080,6413
2080,21044
2080,10859
605,6384
605,2975
605,530
605,1331
605,9572
109445,40462
109445,19394
109445,221611
109445,54415
109445,1188241
604,6384
604,530
604,2975
604,1331
604,9443
76338,74568
76338,524
76338,91606
76338,4173
76338,2040
76341,2524
76341,6885
76341,3292
76341,26060
76341,1056053
13448,31
13448,3061
13448,8786
13448,1640
13448,17839
10195,74568
10195,524
10195,91606
10195,4173
10195,1640
13053,8891
13053,76594
13053,56910
13053,61423
13053,56890
19585,6807
19585,955
19585,56903
19585,15277
19585,884
57165,65731
57165,3896
57165,5469
57165,25616
57165,20286
62213,85
62213,1160
62213,1283
62213,17183
62213,9012
177677,500
177677,933238
177677,11108
177677,17604
177677,10182
7978,1121
7978,4173
7978,5081
7978,1331
7978,119684
5559,16377
5559,9137
5559,12077
5559,4756
5559,9657
49444,70851
49444,11701
49444,4483
49444,64
49444,18897
10196,88816
10196,61186
10196,84215
10196,76788
10196,17857
956,500
956,1233
956,10182
956,8289
956,1244
117251,38673
117251,134
117251,125025
117251,1579
117251,28633
50321,13922
50321,3234
50321,58873
50321,33654
50321,78197
11619,6968
11619,204
11619,1327
11619,1003
11619,2440
266647,1313583
266647,9828
266647,6968
266647,108916
266647,71070
82703,15232
82703,558928
82703,42160
82703,19
82703,475512
652,287
652,114
652,8783
652,1248
652,48
80321,7399
80321,6730
80321,14409
80321,3910
80321,2632
36669,517
36669,4587
36669,10882
36669,10883
36669,10881
43074,55536
43074,41091
43074,1240487
43074,168452
43074,74568
95,62
95,879
95,880
95,882
95,883
608,2176
608,2888
608,9626
608,6684
608,9656
2310,5538
2310,11701
2310,4173
2310,32
2310,6949
140300,70851
140300,17419
140300,4483
140300,11701
140300,18999
56292,500
56292,17604
56292,11108
56292,52851
56292,72118
81188,62064
81188,7447
81188,9642
81188,52848
81188,6968
7552,206
7552,4939
7552,7447
7552,28633
7552,52929
616,500
616,3899
616,7676
616,9186
616,9188
147441,3894
147441,33192
147441,1241
147441,84497
147441,77335
13475,62064
13475,17306
13475,1749
13475,8783
13475,21089
557,2219
557,5293
557,205
557,17051
557,19153
82702,449
82702,17276
82702,41091
82702,21007
82702,112
205584,1017347
205584,12795
205584,17276
205584,1278500
205584,78147
10048,6164
10048,10860
10048,134
10048,9880
10048,12206
13183,50463
13183,8289
13183,17832
13183,47296
13183,17178
944,2461
944,2047
944,4517
944,14343
944,1336
1927,8783
1927,6161
1927,16431
1927,6164
1927,1733
72559,18918
72559,51976
72559,88995
72559,62
72559,11007
7364,10297
7364,955
7364,18324
7364,3905
7364,1120
2114,55636
2114,21702
2114,7447
2114,10182
2114,884
1771,16828
1771,1331
1771,2176
1771,39459
1771,60898
36643,517
36643,1957
36643,18023
36643,9205
36643,1923
8619,934
8619,6162
8619,19655
8619,1329
8619,79505
50620,37917
50620,11288
50620,84214
50620,56857
50620,53755
65759,109
65759,2157
65759,77271
65759,15274
65759,59783
1724,819
1724,882
1724,3129
1724,227
1724,1462
267935,1425420
267935,40900
267935,15556
267935,55936
267935,19278
281957,6193
281957,2524
281957,93491
281957,93210
281957,220448
77950,10859
77950,13242
77950,454
77950,2231
77950,40481
44896,85
44896,52848
44896,13726
44896,2440
44896,658
270946,18864
270946,12098
270946,12097
270946,12080
270946,6949
2503,1892
2503,12041
2503,11064
2503,349
2503,14887
9502,70851
9502,4483
9502,11701
9502,18897
9502,140
102899,22226
102899,3392
102899,19034
102899,74541
102899,21127
101299,72129
101299,27972
101299,96066
101299,57755
101299,9281
228161,5374
228161,131519
228161,67773
228161,16866
228161,191202
74,500
74,501
74,502
74,503
74,504
8961,78029
8961,2888
8961,31384
8961,17773
8961,53
417859,3131
417859,3136
417859,58225
417859,879
417859,12110
27576,11701
27576,23626
27576,5294
27576,7107
27576,6091
86834,934
86834,6161
86834,10990
86834,33235
86834,4173
17578,478
17578,1333
17578,8784
17578,11109
17578,11108
673,10980
673,10989
673,10990
673,64
673,11207
6972,2227
6972,6968
6972,33449
6972,1371
6972,29092
82700,120724
82700,2888
82700,2598
82700,37153
82700,12797
10567,61962
10567,1981
10567,15531
10567,7133
10567,17265
181533,7399
181533,17838
181533,221581
181533,2157
181533,887
38055,23659
38055,287
38055,56323
38055,21007
38055,212
671,10980
671,10989
671,10990
671,194
671,10993
49524,1229
49524,10859
49524,4724
49524,121953
49524,18248
22,85
22,118
22,114
22,116
22,1709
131631,72129
131631,27972
131631,96066
131631,57755
131631,55636
591,31
591,2405
591,1327
591,6162
591,1003
172385,44735
172385,1813
172385,41087
172385,134
172385,1271
36658,2387
36658,6968
36658,1327
36658,4587
36658,10696
51497,12835
51497,8167
51497,22123
51497,8169
51497,8171
58574,3223
58574,9642
58574,15440
58574,87722
58574,17521
18823,65731
18823,3896
18823,5469
18823,59620
18823,973
861,1100
861,4430
861,10768
861,780
861,11086
1911,3131
1911,19898
1911,19899
1911,19900
1911,19901
49040,17604
49040,3293
49040,819
49040,349
49040,825
415,1461
415,5577
415,1100
415,139
415,5588
8871,206
8871,20480
8871,4175
8871,11870
8871,58549
435,6065
435,131
435,4730
435,6066
435,6067
955,500
955,15336
955,9030
955,10182
955,12206
2133,1461
2133,13240
2133,2882
2133,4764
2133,886
1979,65524
1979,56731
1979,16828
1979,19654
1979,20402
87827,933160
87827,76793
87827,935504
87827,1133846
87827,227849
1250,2963
1250,8170
1250,8210
1250,10825
1250,16431
324668,1892
324668,227454
324668,2176
324668,1925
324668,12041
9471,6941
9471,69597
9471,140
9471,1897
9471,418
70981,87722
70981,17288
70981,529
70981,17605
70981,130253
10996,521
10996,16935
10996,41419
10996,67778
10996,122552
68724,1892
68724,1038
68724,82191
68724,8602
68724,8688
2789,12835
2789,9030
2789,1372
2789,10132
2789,3900
97020,92404
97020,64
97020,2232
97020,37260
97020,17183
7459,46593
7459,6886
7459,28657
7459,4038
7459,53368
42888,368
42888,22226
42888,887
42888,514
42888,17696
37834,500
37834,6941
37834,133
37834,19492
37834,31384
75612,500
75612,192
75612,18182
75612,127558
75612,12795
1895,3061
1895,524
1895,17244
1895,27762
1895,2231
1894,3061
1894,524
1894,17244
1894,27762
1894,2231
585,1230
585,7904
585,7905
585,884
585,5563
76170,6968
76170,9195
76170,10696
76170,10884
76170,1156024
1893,3896
1893,3061
1893,524
1893,33196
1893,27762
49519,2963
49519,54693
49519,10859
49519,2229
